DateTime,Light,Occupancy, Energy (W)
8/1/2019 12:06:30,1,1,0
8/1/2019 12:06:40,1,1,0.10557374
8/1/2019 12:06:50,1,1,0.09784739
8/1/2019 12:07:00,1,1,0.09660287
8/1/2019 12:07:10,1,1,0.09901485
